med_name_normalized,drug_class,what_it_is_for,common_side_effects,serious_side_effects_red_flags,interaction_warnings_general,citation_url,source_id
Metformin,Prescription medication,Type 2 diabetes,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Lisinopril,Prescription medication,Hypertension,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Amlodipine,Prescription medication,Hypertension,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Atorvastatin,Statin,Hyperlipidemia,"Muscle aches, mild stomach upset.","Severe muscle pain/weakness, dark urine, yellowing of skin/eyes.",Some statins interact with grapefruit and certain antibiotics/antifungals.,https://medlineplus.gov/druginfo/meds/a600045.html,S01
Simvastatin,Statin,Hyperlipidemia,"Muscle aches, mild stomach upset.","Severe muscle pain/weakness, dark urine, yellowing of skin/eyes.",Some statins interact with grapefruit and certain antibiotics/antifungals.,https://medlineplus.gov/druginfo/meds/a600045.html,S01
Levothyroxine,Prescription medication,Hypothyroidism,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Omeprazole,Prescription medication,GERD,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Albuterol inhaler,Prescription medication,Asthma,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Sertraline,Prescription medication,Depression/anxiety,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Fluoxetine,Prescription medication,Depression,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Hydrochlorothiazide,Prescription medication,Hypertension,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Losartan,Prescription medication,Hypertension,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Gabapentin,Prescription medication,Neuropathic pain,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Amoxicillin,Prescription medication,Acute infection,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Azithromycin,Prescription medication,Respiratory infection,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Acetaminophen,Analgesic/antipyretic,Pain/fever,"Upset stomach (more common with NSAIDs), nausea.","Severe stomach pain, black stools, trouble breathing, facial swelling.",Avoid combining with similar pain relievers unless advised. NSAIDs can affect kidneys and stomach lining.,https://medlineplus.gov/druginformation.html,S01
Ibuprofen,Analgesic/antipyretic,Pain/inflammation,"Upset stomach (more common with NSAIDs), nausea.","Severe stomach pain, black stools, trouble breathing, facial swelling.",Avoid combining with similar pain relievers unless advised. NSAIDs can affect kidneys and stomach lining.,https://medlineplus.gov/druginformation.html,S01
Warfarin,Anticoagulant,Anticoagulation,Easy bruising.,"Bleeding that won’t stop, black/tarry stools, severe headache, vomiting blood.",Many drug/food interactions; consistent vitamin K intake is important.,https://www.fda.gov/drugs,S19
Apixaban,Prescription medication,Atrial fibrillation,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Clopidogrel,Prescription medication,Antiplatelet therapy,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Insulin glargine,Prescription medication,Diabetes,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Cetirizine,Prescription medication,Allergic rhinitis,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Fexofenadine,Prescription medication,Allergic rhinitis,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Prednisone,Prescription medication,Inflammation,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Doxycycline,Prescription medication,Infection,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Tamsulosin,Prescription medication,BPH,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Metoprolol succinate,Prescription medication,Hypertension/Rate control,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Furosemide,Prescription medication,Edema/Heart failure,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Montelukast,Prescription medication,Asthma/allergies,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Nitroglycerin SL,Prescription medication,Angina,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
